fetched_ts_utc,game_date_et,lumify_event_id,event_name,starts_at_utc,captured_at,game_pk,metric,value
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,moneyline.home.bets_pct,18.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,moneyline.home.handle_pct,41.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,moneyline.away.bets_pct,82.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,moneyline.away.handle_pct,59.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,spread.home.bets_pct,20.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,spread.home.handle_pct,48.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,spread.home.line,1.5
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,spread.away.bets_pct,80.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,spread.away.handle_pct,52.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.over.bets_pct,45.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.over.handle_pct,88.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.over.line,10.5
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.under.bets_pct,55.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.under.handle_pct,12.0
2026-08-01T17:10:54Z,2026-08-01,10803,Detroit Tigers @ Athletics,2026-08-01T01:40:00Z,2026-08-01T17:05:17Z,824972,total.under.line,10.5
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,moneyline.home.bets_pct,62.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,moneyline.home.handle_pct,34.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,moneyline.away.bets_pct,38.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,moneyline.away.handle_pct,66.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,spread.home.bets_pct,48.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,spread.home.handle_pct,42.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,spread.away.bets_pct,52.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,spread.away.handle_pct,58.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,spread.away.line,1.5
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.over.bets_pct,70.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.over.handle_pct,94.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.over.line,8.5
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.under.bets_pct,30.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.under.handle_pct,6.0
2026-08-01T17:10:54Z,2026-08-01,10804,San Francisco Giants @ San Diego Padres,2026-08-01T01:45:00Z,2026-08-01T17:05:17Z,823269,total.under.line,8.5
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,moneyline.home.bets_pct,72.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,moneyline.home.handle_pct,70.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,moneyline.away.bets_pct,28.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,moneyline.away.handle_pct,30.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,spread.home.bets_pct,72.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,spread.home.handle_pct,81.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,spread.away.bets_pct,28.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,spread.away.handle_pct,19.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,spread.away.line,1.5
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.over.bets_pct,60.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.over.handle_pct,59.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.over.line,7.5
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.under.bets_pct,40.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.under.handle_pct,41.0
2026-08-01T17:10:54Z,2026-08-01,10805,Boston Red Sox @ Los Angeles Dodgers,2026-08-01T02:10:00Z,2026-08-01T17:05:17Z,823920,total.under.line,7.5
2026-08-01T17:10:54Z,2026-08-01,10806,Minnesota Twins @ Seattle Mariners,2026-08-01T02:10:00Z,2026-08-01T02:05:17Z,823109,moneyline.home.bets_pct,75.0
2026-08-01T17:10:54Z,2026-08-01,10806,Minnesota Twins @ Seattle Mariners,2026-08-01T02:10:00Z,2026-08-01T02:05:17Z,823109,moneyline.home.handle_pct,96.0
2026-08-01T17:10:54Z,2026-08-01,10806,Minnesota Twins @ Seattle Mariners,2026-08-01T02:10:00Z,2026-08-01T02:05:17Z,823109,moneyline.away.bets_pct,25.0
2026-08-01T17:10:54Z,2026-08-01,10806,Minnesota Twins @ Seattle Mariners,2026-08-01T02:10:00Z,2026-08-01T02:05:17Z,823109,moneyline.away.handle_pct,4.0
2026-08-01T17:10:54Z,2026-08-01,10806,Minnesota Twins @ Seattle Mariners,2026-08-01T02:10:00Z,2026-08-01T02:05:17Z,823109,spread.home.bets_pct,0.0
