config_id,min_merit_score,min_price_delta_cents,big_scam_min_price_delta_cents,evenly_matched_max_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
mm1.0-mp5.0-bs100-e110,1.0,5.0,100,110,train,1819,954,844,21,2755.4,1.53
mm1.0-mp5.0-bs100-e110,1.0,5.0,100,110,valid,327,163,159,5,12.04,0.04
mm1.0-mp5.0-bs100-e120,1.0,5.0,100,120,train,1761,938,802,21,5312.73,3.05
mm1.0-mp5.0-bs100-e120,1.0,5.0,100,120,valid,324,163,156,5,277.15,0.87
mm1.0-mp5.0-bs100-e130,1.0,5.0,100,130,train,1728,922,785,21,5545.13,3.25
mm1.0-mp5.0-bs100-e130,1.0,5.0,100,130,valid,319,155,159,5,-630.31,-2.01
mm1.0-mp5.0-bs100-e140,1.0,5.0,100,140,train,1710,898,791,21,2982.8,1.77
mm1.0-mp5.0-bs100-e140,1.0,5.0,100,140,valid,319,155,159,5,-741.06,-2.36
mm1.0-mp10.0-bs40-e110,1.0,10.0,40,110,train,1970,1022,927,21,1110.61,0.57
mm1.0-mp10.0-bs40-e110,1.0,10.0,40,110,valid,365,181,179,5,167.51,0.47
mm1.0-mp10.0-bs40-e120,1.0,10.0,40,120,train,1914,1007,886,21,3753.38,1.98
mm1.0-mp10.0-bs40-e120,1.0,10.0,40,120,valid,362,181,176,5,432.62,1.21
mm1.0-mp10.0-bs40-e130,1.0,10.0,40,130,train,1883,992,870,21,4007.78,2.15
mm1.0-mp10.0-bs40-e130,1.0,10.0,40,130,valid,357,173,179,5,-474.84,-1.35
mm1.0-mp10.0-bs40-e140,1.0,10.0,40,140,train,1867,969,877,21,1413.02,0.77
mm1.0-mp10.0-bs40-e140,1.0,10.0,40,140,valid,357,173,179,5,-585.59,-1.66
mm1.0-mp10.0-bs60-e110,1.0,10.0,60,110,train,1892,984,887,21,1179.78,0.63
mm1.0-mp10.0-bs60-e110,1.0,10.0,60,110,valid,345,171,169,5,-7.19,-0.02
mm1.0-mp10.0-bs60-e120,1.0,10.0,60,120,train,1836,969,846,21,3822.55,2.11
mm1.0-mp10.0-bs60-e120,1.0,10.0,60,120,valid,342,171,166,5,257.92,0.77
mm1.0-mp10.0-bs60-e130,1.0,10.0,60,130,train,1805,954,830,21,4076.95,2.29
mm1.0-mp10.0-bs60-e130,1.0,10.0,60,130,valid,337,163,169,5,-649.54,-1.96
mm1.0-mp10.0-bs60-e140,1.0,10.0,60,140,train,1789,931,837,21,1482.19,0.84
mm1.0-mp10.0-bs60-e140,1.0,10.0,60,140,valid,337,163,169,5,-760.29,-2.29
mm1.0-mp10.0-bs80-e110,1.0,10.0,80,110,train,1832,957,854,21,1999.09,1.1
mm1.0-mp10.0-bs80-e110,1.0,10.0,80,110,valid,334,167,162,5,139.7,0.42
mm1.0-mp10.0-bs80-e120,1.0,10.0,80,120,train,1776,942,813,21,4641.86,2.64
mm1.0-mp10.0-bs80-e120,1.0,10.0,80,120,valid,331,167,159,5,404.81,1.24
mm1.0-mp10.0-bs80-e130,1.0,10.0,80,130,train,1745,927,797,21,4896.26,2.84
mm1.0-mp10.0-bs80-e130,1.0,10.0,80,130,valid,326,159,162,5,-502.65,-1.57
mm1.0-mp10.0-bs80-e140,1.0,10.0,80,140,train,1729,904,804,21,2301.5,1.35
mm1.0-mp10.0-bs80-e140,1.0,10.0,80,140,valid,326,159,162,5,-613.4,-1.91
mm1.0-mp10.0-bs100-e110,1.0,10.0,100,110,train,1782,935,826,21,2461.1,1.4
mm1.0-mp10.0-bs100-e110,1.0,10.0,100,110,valid,325,163,157,5,212.04,0.66
mm1.0-mp10.0-bs100-e120,1.0,10.0,100,120,train,1726,920,785,21,5103.87,2.99
mm1.0-mp10.0-bs100-e120,1.0,10.0,100,120,valid,322,163,154,5,477.15,1.51
mm1.0-mp10.0-bs100-e130,1.0,10.0,100,130,train,1695,905,769,21,5358.27,3.2
mm1.0-mp10.0-bs100-e130,1.0,10.0,100,130,valid,317,155,157,5,-430.31,-1.38
mm1.0-mp10.0-bs100-e140,1.0,10.0,100,140,train,1679,882,776,21,2763.51,1.67
mm1.0-mp10.0-bs100-e140,1.0,10.0,100,140,valid,317,155,157,5,-541.06,-1.73
